block	content_weight_norm	style_weight_norm	content_over_style_weight_norm
1	15.911236763000488	16.360109329223633	0.972562984929365
2	16.774438858032227	17.18678092956543	0.9760081848239611
3	17.148853302001953	17.535295486450195	0.9779620374947857
4	17.448196411132812	16.729387283325195	1.0429668532166794
5	17.357837677001953	17.507476806640625	0.9914528443309482
6	17.545488357543945	17.026023864746094	1.030510029641944
7	16.8558406829834	16.419282913208008	1.026588114236354
8	16.895992279052734	16.32708168029785	1.0348445980668668
9	18.064495086669922	16.51746940612793	1.093659969484675
10	16.696149826049805	18.51254653930664	0.9018829360185437
11	16.226226806640625	18.198070526123047	0.891645451277273
12	16.427579879760742	17.325603485107422	0.9481678311454724
