combo	train_label	infer_aggregation	checkpoint	split	font	font_pos	sample_pos_in_font	sample_index	target_char	style_chars	l1	mse	cosine
trained_drop_minmax__infer_mean	trained_drop_minmax	mean	checkpoints/xpred_20260423_230719/ckpt_step_70000.pt	train	方正水柱简体	0	0	192275	诀	唱了笆观节击	0.2843366265296936	0.268836110830307	0.8492567539215088
trained_drop_minmax__infer_mean	trained_drop_minmax	mean	checkpoints/xpred_20260423_230719/ckpt_step_70000.pt	train	方正水柱简体	0	1	192784	丘	非匠剿圆赵蹭	0.2890091836452484	0.30417558550834656	0.8293827772140503
trained_drop_minmax__infer_mean	trained_drop_minmax	mean	checkpoints/xpred_20260423_230719/ckpt_step_70000.pt	test	方正字汇-羊驼体 简	0	0	11942	弧	豆邮西刃节玉	0.4054116904735565	0.36772921681404114	0.7858412265777588
trained_drop_minmax__infer_mean	trained_drop_minmax	mean	checkpoints/xpred_20260423_230719/ckpt_step_70000.pt	test	方正字汇-羊驼体 简	0	1	11914	囚	非匠剿圆赵唱	0.33327510952949524	0.2809452414512634	0.845076858997345
trained_drop_minmax__infer_drop_minmax	trained_drop_minmax	drop_minmax	checkpoints/xpred_20260423_230719/ckpt_step_70000.pt	train	方正水柱简体	0	0	192275	诀	唱了笆观节击	0.2816528081893921	0.26422831416130066	0.8520580530166626
trained_drop_minmax__infer_drop_minmax	trained_drop_minmax	drop_minmax	checkpoints/xpred_20260423_230719/ckpt_step_70000.pt	train	方正水柱简体	0	1	192784	丘	非匠剿圆赵蹭	0.2886618971824646	0.30438730120658875	0.8292789459228516
trained_drop_minmax__infer_drop_minmax	trained_drop_minmax	drop_minmax	checkpoints/xpred_20260423_230719/ckpt_step_70000.pt	test	方正字汇-羊驼体 简	0	0	11942	弧	豆邮西刃节玉	0.4052122235298157	0.3661871552467346	0.7869471311569214
trained_drop_minmax__infer_drop_minmax	trained_drop_minmax	drop_minmax	checkpoints/xpred_20260423_230719/ckpt_step_70000.pt	test	方正字汇-羊驼体 简	0	1	11914	囚	非匠剿圆赵唱	0.3349614143371582	0.2836498022079468	0.8433411121368408
trained_mean__infer_mean	trained_mean	mean	checkpoints/xpred_20260424_182507/ckpt_step_70000.pt	train	方正水柱简体	0	0	192275	诀	唱了笆观节击	0.291882187128067	0.28050631284713745	0.8421399593353271
trained_mean__infer_mean	trained_mean	mean	checkpoints/xpred_20260424_182507/ckpt_step_70000.pt	train	方正水柱简体	0	1	192784	丘	非匠剿圆赵蹭	0.2929478585720062	0.30425775051116943	0.8291844129562378
trained_mean__infer_mean	trained_mean	mean	checkpoints/xpred_20260424_182507/ckpt_step_70000.pt	test	方正字汇-羊驼体 简	0	0	11942	弧	豆邮西刃节玉	0.41454437375068665	0.3893681764602661	0.7708194851875305
trained_mean__infer_mean	trained_mean	mean	checkpoints/xpred_20260424_182507/ckpt_step_70000.pt	test	方正字汇-羊驼体 简	0	1	11914	囚	非匠剿圆赵唱	0.3302967846393585	0.28364652395248413	0.842933177947998
trained_mean__infer_drop_minmax	trained_mean	drop_minmax	checkpoints/xpred_20260424_182507/ckpt_step_70000.pt	train	方正水柱简体	0	0	192275	诀	唱了笆观节击	0.28878092765808105	0.275429368019104	0.8452370166778564
trained_mean__infer_drop_minmax	trained_mean	drop_minmax	checkpoints/xpred_20260424_182507/ckpt_step_70000.pt	train	方正水柱简体	0	1	192784	丘	非匠剿圆赵蹭	0.291662335395813	0.29983407258987427	0.8317979574203491
trained_mean__infer_drop_minmax	trained_mean	drop_minmax	checkpoints/xpred_20260424_182507/ckpt_step_70000.pt	test	方正字汇-羊驼体 简	0	0	11942	弧	豆邮西刃节玉	0.4147060811519623	0.39095553755760193	0.7697111964225769
trained_mean__infer_drop_minmax	trained_mean	drop_minmax	checkpoints/xpred_20260424_182507/ckpt_step_70000.pt	test	方正字汇-羊驼体 简	0	1	11914	囚	非匠剿圆赵唱	0.3304683566093445	0.2847461998462677	0.8421905636787415
